x,V
   -4.000000,   16.000000
   -3.996000,   15.984000
   -3.992000,   15.968000
   -3.988000,   15.952000
   -3.984000,   15.936000
   -3.980000,   15.920000
   -3.976000,   15.904000
   -3.972000,   15.888000
   -3.968000,   15.872000
   -3.964000,   15.856000
   -3.960000,   15.840000
   -3.956000,   15.824000
   -3.952000,   15.808000
   -3.948000,   15.792000
   -3.944000,   15.776000
   -3.940000,   15.760000
   -3.936000,   15.744000
   -3.932000,   15.728000
   -3.928000,   15.712000
   -3.924000,   15.696000
   -3.920000,   15.680000
   -3.916000,   15.664000
   -3.912000,   15.648000
   -3.908000,   15.632000
   -3.904000,   15.616000
   -3.900000,   15.600000
   -3.896000,   15.584000
   -3.892000,   15.568000
   -3.888000,   15.552000
   -3.884000,   15.536000
   -3.880000,   15.520000
   -3.876000,   15.504000
   -3.872000,   15.488000
   -3.868000,   15.472000
   -3.864000,   15.456000
   -3.860000,   15.440000
   -3.856000,   15.424000
   -3.852000,   15.408000
   -3.848000,   15.392000
   -3.844000,   15.376000
   -3.840000,   15.360000
   -3.836000,   15.344000
   -3.832000,   15.328000
   -3.828000,   15.312000
   -3.824000,   15.296000
   -3.820000,   15.280000
   -3.816000,   15.264000
   -3.812000,   15.248000
   -3.808000,   15.232000
   -3.804000,   15.216000
   -3.800000,   15.200000
   -3.796000,   15.184000
   -3.792000,   15.168000
   -3.788000,   15.152000
   -3.784000,   15.136000
   -3.780000,   15.120000
   -3.776000,   15.104000
   -3.772000,   15.088000
   -3.768000,   15.072000
   -3.764000,   15.056000
   -3.760000,   15.040000
   -3.756000,   15.024000
   -3.752000,   15.008000
   -3.748000,   14.992000
   -3.744000,   14.976000
   -3.740000,   14.960000
   -3.736000,   14.944000
   -3.732000,   14.928000
   -3.728000,   14.912000
   -3.724000,   14.896000
   -3.720000,   14.880000
   -3.716000,   14.864000
   -3.712000,   14.848000
   -3.708000,   14.832000
   -3.704000,   14.816000
   -3.700000,   14.800000
   -3.696000,   14.784000
   -3.692000,   14.768000
   -3.688000,   14.752000
   -3.684000,   14.736000
   -3.680000,   14.720000
   -3.676000,   14.704000
   -3.672000,   14.688000
   -3.668000,   14.672000
   -3.664000,   14.656000
   -3.660000,   14.640000
   -3.656000,   14.624000
   -3.652000,   14.608000
   -3.648000,   14.592000
   -3.644000,   14.576000
   -3.640000,   14.560000
   -3.636000,   14.544000
   -3.632000,   14.528000
   -3.628000,   14.512000
   -3.624000,   14.496000
   -3.620000,   14.480000
   -3.616000,   14.464000
   -3.612000,   14.448000
   -3.608000,   14.432000
   -3.604000,   14.416000
   -3.600000,   14.400000
   -3.596000,   14.384000
   -3.592000,   14.368000
   -3.588000,   14.352000
   -3.584000,   14.336000
   -3.580000,   14.320000
   -3.576000,   14.304000
   -3.572000,   14.288000
   -3.568000,   14.272000
   -3.564000,   14.256000
   -3.560000,   14.240000
   -3.556000,   14.224000
   -3.552000,   14.208000
   -3.548000,   14.192000
   -3.544000,   14.176000
   -3.540000,   14.160000
   -3.536000,   14.144000
   -3.532000,   14.128000
   -3.528000,   14.112000
   -3.524000,   14.096000
   -3.520000,   14.080000
   -3.516000,   14.064000
   -3.512000,   14.048000
   -3.508000,   14.032000
   -3.504000,   14.016000
   -3.500000,   14.000000
   -3.496000,   13.984000
   -3.492000,   13.968000
   -3.488000,   13.952000
   -3.484000,   13.936000
   -3.480000,   13.920000
   -3.476000,   13.904000
   -3.472000,   13.888000
   -3.468000,   13.872000
   -3.464000,   13.856000
   -3.460000,   13.840000
   -3.456000,   13.824000
   -3.452000,   13.808000
   -3.448000,   13.792000
   -3.444000,   13.776000
   -3.440000,   13.760000
   -3.436000,   13.744000
