x,V
   -4.000000,   48.000000
   -3.996000,   47.648687
   -3.992000,   47.298748
   -3.988000,   46.950178
   -3.984000,   46.602975
   -3.980000,   46.257136
   -3.976000,   45.912658
   -3.972000,   45.569537
   -3.968000,   45.227770
   -3.964000,   44.887356
   -3.960000,   44.548289
   -3.956000,   44.210568
   -3.952000,   43.874190
   -3.948000,   43.539151
   -3.944000,   43.205448
   -3.940000,   42.873078
   -3.936000,   42.542039
   -3.932000,   42.212327
   -3.928000,   41.883939
   -3.924000,   41.556873
   -3.920000,   41.231124
   -3.916000,   40.906691
   -3.912000,   40.583570
   -3.908000,   40.261758
   -3.904000,   39.941253
   -3.900000,   39.622050
   -3.896000,   39.304148
   -3.892000,   38.987542
   -3.888000,   38.672231
   -3.884000,   38.358211
   -3.880000,   38.045480
   -3.876000,   37.734033
   -3.872000,   37.423869
   -3.868000,   37.114984
   -3.864000,   36.807375
   -3.860000,   36.501040
   -3.856000,   36.195975
   -3.852000,   35.892178
   -3.848000,   35.589644
   -3.844000,   35.288373
   -3.840000,   34.988360
   -3.836000,   34.689602
   -3.832000,   34.392097
   -3.828000,   34.095842
   -3.824000,   33.800834
   -3.820000,   33.507069
   -3.816000,   33.214545
   -3.812000,   32.923259
   -3.808000,   32.633208
   -3.804000,   32.344390
   -3.800000,   32.056800
   -3.796000,   31.770437
   -3.792000,   31.485297
   -3.788000,   31.201377
   -3.784000,   30.918675
   -3.780000,   30.637187
   -3.776000,   30.356911
   -3.772000,   30.077844
   -3.768000,   29.799983
   -3.764000,   29.523325
   -3.760000,   29.247867
   -3.756000,   28.973606
   -3.752000,   28.700539
   -3.748000,   28.428664
   -3.744000,   28.157978
   -3.740000,   27.888477
   -3.736000,   27.620159
   -3.732000,   27.353021
   -3.728000,   27.087060
   -3.724000,   26.822273
   -3.720000,   26.558657
   -3.716000,   26.296210
   -3.712000,   26.034929
   -3.708000,   25.774810
   -3.704000,   25.515852
   -3.700000,   25.258050
   -3.696000,   25.001403
   -3.692000,   24.745907
   -3.688000,   24.491559
   -3.684000,   24.238358
   -3.680000,   23.986299
   -3.676000,   23.735380
   -3.672000,   23.485599
   -3.668000,   23.236952
   -3.664000,   22.989436
   -3.660000,   22.743050
   -3.656000,   22.497789
   -3.652000,   22.253652
   -3.648000,   22.010634
   -3.644000,   21.768735
   -3.640000,   21.527950
   -3.636000,   21.288277
   -3.632000,   21.049714
   -3.628000,   20.812256
   -3.624000,   20.575903
   -3.620000,   20.340650
   -3.616000,   20.106495
   -3.612000,   19.873435
   -3.608000,   19.641468
   -3.604000,   19.410591
   -3.600000,   19.180800
   -3.596000,   18.952094
   -3.592000,   18.724469
   -3.588000,   18.497922
   -3.584000,   18.272452
   -3.580000,   18.048054
   -3.576000,   17.824728
   -3.572000,   17.602468
   -3.568000,   17.381274
   -3.564000,   17.161141
   -3.560000,   16.942068
   -3.556000,   16.724052
   -3.552000,   16.507090
   -3.548000,   16.291179
   -3.544000,   16.076316
   -3.540000,   15.862499
   -3.536000,   15.649725
   -3.532000,   15.437992
   -3.528000,   15.227296
   -3.524000,   15.017635
   -3.520000,   14.809006
   -3.516000,   14.601407
   -3.512000,   14.394834
   -3.508000,   14.189286
   -3.504000,   13.984758
   -3.500000,   13.781250
   -3.496000,   13.578758
   -3.492000,   13.377278
   -3.488000,   13.176810
   -3.484000,   12.977349
   -3.480000,   12.778894
   -3.476000,   12.581441
   -3.472000,   12.384989
   -3.468000,   12.189533
   -3.464000,   11.995072
   -3.460000,   11.801603
   -3.456000,   11.609124
   -3.452000,   11.417631
   -3.448000,   11.227121
   -3.444000,   11.037594
   -3.440000,   10.849044
   -3.436000,   10.661471
   -3.432000,   10.474872
   -3.428000,   10.289243
   -3.424000,   10.104582
   -3.420000,    9.920886
   -3.416000,    9.738154
   -3.412000,    9.556382
   -3.408000,    9.375567
   -3.404000,    9.195707
   -3.400000,    9.016800
   -3.396000,    8.838842
   -3.392000,    8.661832
   -3.388000,    8.485766
   -3.384000,    8.310642
   -3.380000,    8.136458
   -3.376000,    7.963210
   -3.372000,    7.790896
   -3.368000,    7.619514
   -3.364000,    7.449061
   -3.360000,    7.279534
   -3.356000,    7.110931
   -3.352000,    6.943249
   -3.348000,    6.776486
   -3.344000,    6.610639
   -3.340000,    6.445706
   -3.336000,    6.281683
   -3.332000,    6.118569
   -3.328000,    5.956360
   -3.324000,    5.795055
   -3.320000,    5.634651
   -3.316000,    5.475145
   -3.312000,    5.316534
   -3.308000,    5.158816
   -3.304000,    5.001989
   -3.300000,    4.846050
   -3.296000,    4.690996
   -3.292000,    4.536826
   -3.288000,    4.383535
   -3.284000,    4.231123
   -3.280000,    4.079585
   -3.276000,    3.928921
   -3.272000,    3.779127
   -3.268000,    3.630200
   -3.264000,    3.482139
   -3.260000,    3.334941
   -3.256000,    3.188603
   -3.252000,    3.043122
   -3.248000,    2.898497
   -3.244000,    2.754725
   -3.240000,    2.611803
   -3.236000,    2.469729
   -3.232000,    2.328500
   -3.228000,    2.188113
   -3.224000,    2.048567
   -3.220000,    1.909859
   -3.216000,    1.771987
   -3.212000,    1.634947
   -3.208000,    1.498737
   -3.204000,    1.363356
   -3.200000,    1.228800
   -3.196000,    1.095067
   -3.192000,    0.962155
   -3.188000,    0.830061
   -3.184000,    0.698782
   -3.180000,    0.568317
   -3.176000,    0.438662
   -3.172000,    0.309816
   -3.168000,    0.181776
   -3.164000,    0.054539
   -3.160000,   -0.071896
   -3.156000,   -0.197533
   -3.152000,   -0.322374
   -3.148000,   -0.446421
   -3.144000,   -0.569677
   -3.140000,   -0.692144
   -3.136000,   -0.813824
   -3.132000,   -0.934720
   -3.128000,   -1.054835
   -3.124000,   -1.174170
   -3.120000,   -1.292728
   -3.116000,   -1.410512
   -3.112000,   -1.527524
   -3.108000,   -1.643766
   -3.104000,   -1.759240
   -3.100000,   -1.873950
   -3.096000,   -1.987897
   -3.092000,   -2.101084
   -3.088000,   -2.213513
   -3.084000,   -2.325187
   -3.080000,   -2.436108
   -3.076000,   -2.546277
   -3.072000,   -2.655699
   -3.068000,   -2.764375
   -3.064000,   -2.872307
   -3.060000,   -2.979498
   -3.056000,   -3.085949
   -3.052000,   -3.191665
   -3.048000,   -3.296646
   -3.044000,   -3.400895
   -3.040000,   -3.504415
   -3.036000,   -3.607207
   -3.032000,   -3.709275
   -3.028000,   -3.810620
   -3.024000,   -3.911245
