# Modo   kn[1/m]           cp[m/s]
   1  0.2094209510  1500.132933
   2  0.2093348831  1500.749711
   3  0.2093106275  1500.923623
   4  0.2092362893  1501.456876
   5  0.2091309778  1502.212961
   6  0.2090635348  1502.697569
   7  0.2090205486  1503.006606
   8  0.2089058495  1503.831827
   9  0.2087873919  1504.685041
  10  0.2087449579  1504.990916
  11  0.2086655131  1505.563908
  12  0.2085404447  1506.466843
  13  0.2084123479  1507.392765
  14  0.2083549258  1507.808199
  15  0.2082813334  1508.340955
  16  0.2081474730  1509.310975
  17  0.2080108072  1510.302612
  18  0.2078857086  1511.211461
  19  0.2078713499  1511.315848
  20  0.2077290911  1512.350839
  21  0.2075839991  1513.407906
  22  0.2074360204  1514.487526
  23  0.2073224219  1515.317361
  24  0.2072850804  1515.590339
  25  0.2071310819  1516.717155
  26  0.2069739038  1517.868966
  27  0.2068133984  1519.046966
  28  0.2066493885  1520.252577
  29  0.2066386572  1520.331528
  30  0.2064816623  1521.487487
  31  0.2063099673  1522.753696
  32  0.2061340026  1524.053583
  33  0.2059534076  1525.389985
  34  0.2057827740  1526.654828
  35  0.2057677470  1526.766318
  36  0.2055764905  1528.186733
  37  0.2053789837  1529.656344
  38  0.2051744049  1531.181560
  39  0.2049617013  1532.770578
  40  0.2047394872  1534.434172
  41  0.2046220067  1535.315143
  42  0.2045058749  1536.186995
  43  0.2042581728  1538.049916
  44  0.2039922916  1540.054591
  45  0.2037014147  1542.253724
  46  0.2033723240  1544.749350
  47  0.2029704745  1547.807710
