# Rango[km]  Profundidad[m]  TL[dB]
0.100  -100.0  62.9812
0.200  -100.0  65.9971
0.300  -100.0  67.7674
0.400  -100.0  69.0300
0.500  -100.0  70.0161
0.600  -100.0  70.8286
0.700  -100.0  71.5226
0.800  -100.0  72.1308
0.900  -100.0  72.6744
1.000  -100.0  73.1679
1.100  -100.0  73.6215
1.200  -100.0  74.0429
1.300  -100.0  74.4378
1.400  -100.0  74.8108
1.500  -100.0  75.1654
1.600  -100.0  75.5045
1.700  -100.0  75.8305
1.800  -100.0  76.1452
1.900  -100.0  76.4504
2.000  -100.0  76.7475
2.100  -100.0  77.0376
2.200  -100.0  77.3217
2.300  -100.0  77.6008
2.400  -100.0  77.8756
2.500  -100.0  78.1467
2.600  -100.0  78.4149
2.700  -100.0  78.6807
2.800  -100.0  78.9444
2.900  -100.0  79.2066
3.000  -100.0  79.4677
3.100  -100.0  79.7279
3.200  -100.0  79.9877
3.300  -100.0  80.2472
3.400  -100.0  80.5067
3.500  -100.0  80.7666
3.600  -100.0  81.0269
3.700  -100.0  81.2880
3.800  -100.0  81.5498
3.900  -100.0  81.8127
4.000  -100.0  82.0768
4.100  -100.0  82.3421
4.200  -100.0  82.6087
4.300  -100.0  82.8768
4.400  -100.0  83.1465
4.500  -100.0  83.4177
4.600  -100.0  83.6904
4.700  -100.0  83.9648
4.800  -100.0  84.2407
4.900  -100.0  84.5182
5.000  -100.0  84.7972
5.100  -100.0  85.0775
5.200  -100.0  85.3591
5.300  -100.0  85.6419
5.400  -100.0  85.9255
5.500  -100.0  86.2098
5.600  -100.0  86.4945
5.700  -100.0  86.7792
5.800  -100.0  87.0637
5.900  -100.0  87.3475
6.000  -100.0  87.6300
6.100  -100.0  87.9107
6.200  -100.0  88.1890
6.300  -100.0  88.4643
6.400  -100.0  88.7357
6.500  -100.0  89.0026
6.600  -100.0  89.2639
6.700  -100.0  89.5188
6.800  -100.0  89.7663
6.900  -100.0  90.0053
7.000  -100.0  90.2350
7.100  -100.0  90.4543
7.200  -100.0  90.6621
7.300  -100.0  90.8575
7.400  -100.0  91.0397
7.500  -100.0  91.2079
7.600  -100.0  91.3615
7.700  -100.0  91.4999
7.800  -100.0  91.6228
7.900  -100.0  91.7300
8.000  -100.0  91.8216
8.100  -100.0  91.8978
8.200  -100.0  91.9590
8.300  -100.0  92.0057
8.400  -100.0  92.0386
8.500  -100.0  92.0584
8.600  -100.0  92.0662
8.700  -100.0  92.0628
8.800  -100.0  92.0493
8.900  -100.0  92.0267
9.000  -100.0  91.9961
9.100  -100.0  91.9583
9.200  -100.0  91.9145
9.300  -100.0  91.8655
9.400  -100.0  91.8121
9.500  -100.0  91.7553
9.600  -100.0  91.6957
9.700  -100.0  91.6340
9.800  -100.0  91.5709
9.900  -100.0  91.5068
10.000  -100.0  91.4422
10.100  -100.0  91.3776
10.200  -100.0  91.3133
10.300  -100.0  91.2496
10.400  -100.0  91.1869
10.500  -100.0  91.1253
10.600  -100.0  91.0650
10.700  -100.0  91.0062
10.800  -100.0  90.9490
10.900  -100.0  90.8934
11.000  -100.0  90.8396
11.100  -100.0  90.7875
11.200  -100.0  90.7372
11.300  -100.0  90.6887
11.400  -100.0  90.6419
11.500  -100.0  90.5968
11.600  -100.0  90.5533
11.700  -100.0  90.5114
11.800  -100.0  90.4709
11.900  -100.0  90.4318
12.000  -100.0  90.3941
12.100  -100.0  90.3574
12.200  -100.0  90.3218
12.300  -100.0  90.2871
12.400  -100.0  90.2532
12.500  -100.0  90.2200
12.600  -100.0  90.1872
12.700  -100.0  90.1548
12.800  -100.0  90.1226
12.900  -100.0  90.0905
13.000  -100.0  90.0583
13.100  -100.0  90.0258
13.200  -100.0  89.9930
13.300  -100.0  89.9597
13.400  -100.0  89.9258
13.500  -100.0  89.8911
13.600  -100.0  89.8555
13.700  -100.0  89.8189
13.800  -100.0  89.7812
13.900  -100.0  89.7423
14.000  -100.0  89.7022
14.100  -100.0  89.6607
14.200  -100.0  89.6177
14.300  -100.0  89.5733
14.400  -100.0  89.5274
14.500  -100.0  89.4799
14.600  -100.0  89.4308
14.700  -100.0  89.3803
14.800  -100.0  89.3281
14.900  -100.0  89.2745
15.000  -100.0  89.2193
15.100  -100.0  89.1627
15.200  -100.0  89.1047
15.300  -100.0  89.0454
15.400  -100.0  88.9848
15.500  -100.0  88.9231
15.600  -100.0  88.8603
15.700  -100.0  88.7966
15.800  -100.0  88.7320
15.900  -100.0  88.6666
16.000  -100.0  88.6006
16.100  -100.0  88.5341
16.200  -100.0  88.4672
16.300  -100.0  88.4001
16.400  -100.0  88.3328
16.500  -100.0  88.2656
16.600  -100.0  88.1984
16.700  -100.0  88.1315
16.800  -100.0  88.0649
16.900  -100.0  87.9989
17.000  -100.0  87.9334
17.100  -100.0  87.8687
17.200  -100.0  87.8049
17.300  -100.0  87.7420
